;위치	;시간	;수압	;비고
1271	0:00:00	42.8	;(5)한전거제지점
1271	1:00:00	43	
1271	2:00:00	43.6	
1271	3:00:00	43.9	
1271	4:00:00	43.8	
1271	5:00:00	43.9	
1271	6:00:00	43.4	
1271	7:00:00	43.2	
1271	8:00:00	41.3	
1271	9:00:00	41.3	
1271	10:00:00	42.4	
1271	11:00:00	41.6	
1271	12:00:00	41.2	
1271	13:00:00	31.3	
1271	14:00:00	41.5	
1271	15:00:00	41.1	
1271	16:00:00	40.4	
1271	17:00:00	42.5	
1271	18:00:00	42.4	
1271	19:00:00	41.6	
1271	20:00:00	41.6	
1271	21:00:00	41	
1271	22:00:00	42.6	
1271	23:00:00	43.4	
1368	0:00:00	43.2	;신우성아파트
1368	1:00:00	43.4	
1368	2:00:00	43.9	
1368	3:00:00	44.1	
1368	4:00:00	44.1	
1368	5:00:00	44.2	
1368	6:00:00	43.7	
1368	7:00:00	43.5	
1368	8:00:00	41.7	
1368	9:00:00	41.4	
1368	10:00:00	42.7	
1368	11:00:00	42.1	
1368	12:00:00	41.7	
1368	13:00:00	39.5	
1368	14:00:00	42.1	
1368	15:00:00	41.8	
1368	16:00:00	40.9	
1368	17:00:00	42.8	
1368	18:00:00	42.7	
1368	19:00:00	42.5	
1368	20:00:00	42.5	
1368	21:00:00	41.9	
1368	22:00:00	43.4	
1368	23:00:00	43.8	
1437	0:00:00	30.8	;고현약국 앞
1437	1:00:00	32.1	
1437	2:00:00	33.2	
1437	3:00:00	33.9	
1437	4:00:00	34	
1437	5:00:00	34.3	
1437	6:00:00	32.8	
1437	7:00:00	31.6	
1437	8:00:00	27.8	
1437	9:00:00	27.6	
1437	10:00:00	27.8	
1437	11:00:00	27.5	
1437	12:00:00	27.3	
1437	13:00:00	26.3	
1437	14:00:00	28.3	
1437	15:00:00	28	
1437	16:00:00	26.7	
1437	17:00:00	33.2	
1437	18:00:00	32.6	
1437	19:00:00	32.3	
1437	20:00:00	32	
1437	21:00:00	31.3	
1437	22:00:00	34.6	
1437	23:00:00	34.8	
1527	0:00:00	34.6	;농협거제지부
1527	1:00:00	35	
1527	2:00:00	35.3	
1527	3:00:00	35.3	
1527	4:00:00	35.3	
1527	5:00:00	35.2	
1527	6:00:00	34.8	
1527	7:00:00	34.1	
1527	8:00:00	33.4	
1527	9:00:00	32.8	
1527	10:00:00	33.7	
1527	11:00:00	33	
1527	12:00:00	33.9	
1527	13:00:00	34.2	
1527	14:00:00	33.5	
1527	15:00:00	34.1	
1527	16:00:00	34.1	
1527	17:00:00	34	
1527	18:00:00	33.8	
1527	19:00:00	31.4	
1527	20:00:00	30.2	
1527	21:00:00	32.7	
1527	22:00:00	32.1	
1527	23:00:00	33	
1513	0:00:00	29.8	;세종어린이집건너편
1513	1:00:00	30.3	
1513	2:00:00	30.6	
1513	3:00:00	30.7	
1513	4:00:00	30.6	
1513	5:00:00	30.5	
1513	6:00:00	30.1	
1513	7:00:00	29.2	
1513	8:00:00	28.6	
1513	9:00:00	28	
1513	10:00:00	29	
1513	11:00:00	28.2	
1513	12:00:00	29.1	
1513	13:00:00	29.4	
1513	14:00:00	28.8	
1513	15:00:00	29.4	
1513	16:00:00	29.3	
1513	17:00:00	29.2	
1513	18:00:00	29.2	
1513	19:00:00	26.6	
1513	20:00:00	25.3	
1513	21:00:00	27.9	
1513	22:00:00	27.3	
1513	23:00:00	28.2	
1401	0:00:00	42.5	;고현주공APT 119동옆.
1401	1:00:00	42.8	
1401	2:00:00	43.1	
1401	3:00:00	43.1	
1401	4:00:00	43.1	
1401	5:00:00	43	
1401	6:00:00	42.5	
1401	7:00:00	41.8	
1401	8:00:00	41.2	
1401	9:00:00	40.7	
1401	10:00:00	41.7	
1401	11:00:00	40.9	
1401	12:00:00	41.8	
1401	13:00:00	42.2	
1401	14:00:00	41.6	
1401	15:00:00	42.2	
1401	16:00:00	42.2	
1401	17:00:00	42	
1401	18:00:00	41.9	
1401	19:00:00	39.3	
1401	20:00:00	38	
1401	21:00:00	40.5	
1401	22:00:00	40	
1401	23:00:00	40.9	

